gen0,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49
5,3,10,16,4,5,7,2,3,8,14,16,2,22,13,13,3,2,9,11,11,10,18,18,16,10,4,6,17,15,13,5,9,12,17,12,7,18,9,1,26,13,3,13,5,30,19,6,11,3
3,12,4,8,13,3,20,6,13,7,2,5,15,15,11,13,11,23,11,3,13,16,22,9,5,17,27,9,19,20,16,12,9,7,4,15,11,13,11,5,18,19,26,11,13,11,17,15,15,7
5,5,6,4,3,13,5,5,9,9,9,13,17,11,17,7,1,14,11,13,3,17,11,7,22,13,8,3,16,19,3,9,18,11,19,17,7,5,17,6,8,13,31,19,13,15,15,8,9,11
2,2,6,6,7,5,13,9,4,3,18,6,11,20,14,11,17,9,3,11,16,5,22,7,16,13,17,17,26,21,7,7,7,21,18,13,5,7,19,19,17,16,5,5,15,12,7,13,9,17
3,9,4,9,4,6,5,13,10,13,9,2,18,18,5,24,11,16,25,3,9,15,24,21,7,21,6,17,28,18,18,18,17,3,23,15,9,11,6,5,21,3,8,11,27,12,3,5,10,7
5,4,3,7,11,10,7,9,7,9,31,15,3,3,2,23,23,13,5,18,1,16,9,3,25,8,5,6,3,13,13,9,9,3,1,19,7,11,5,3,9,31,7,13,15,21,30,11,15,12
4,6,11,9,12,18,3,15,9,5,13,7,9,5,7,18,5,26,16,3,11,13,13,9,19,3,16,26,11,13,5,7,7,13,7,3,11,3,3,13,6,25,9,5,23,11,23,7,7,21
9,7,17,3,16,9,8,5,3,14,7,9,9,7,12,19,5,7,11,11,21,7,13,5,16,23,23,8,7,13,21,9,14,15,17,15,15,13,13,13,11,3,9,17,2,17,5,3,21,19
10,8,12,5,2,9,6,11,15,7,19,3,9,6,22,7,3,3,10,8,19,25,3,18,9,7,17,26,13,7,6,5,13,3,7,9,18,13,26,11,11,16,3,6,9,22,15,13,15,16
4,9,8,7,6,6,5,12,3,9,3,7,15,11,1,3,6,7,9,7,11,9,11,11,16,19,13,1,5,14,4,11,13,3,16,13,7,15,13,17,3,19,13,8,7,7,27,19,6,18
5,8,14,11,3,5,4,2,13,7,7,10,20,3,5,9,21,13,9,33,13,7,13,7,13,17,16,9,17,7,3,18,15,7,34,17,14,9,7,17,11,10,15,3,19,25,12,13,10,3
10,7,18,9,5,6,9,7,13,5,13,21,15,28,19,8,5,10,17,28,13,5,3,7,7,10,15,6,13,13,14,13,7,15,1,12,9,9,34,9,14,10,18,1,11,15,36,20,22,25
5,4,13,7,7,10,9,3,3,10,9,5,13,8,3,19,14,15,12,9,16,21,11,7,14,9,3,5,17,22,10,17,9,5,12,13,21,9,6,3,15,15,18,11,3,16,11,7,3,17
7,3,9,3,5,3,3,13,9,5,11,8,15,4,15,16,13,3,18,13,7,8,11,8,13,24,18,9,13,20,3,18,7,3,17,10,7,15,13,11,14,17,6,2,31,7,9,3,12,15
10,3,7,11,8,7,6,3,11,5,13,18,9,15,15,16,10,18,5,11,6,11,9,11,20,9,4,15,9,5,17,15,7,16,5,21,9,10,21,18,22,9,5,9,9,15,8,23,7,13
4,7,6,7,5,6,4,2,13,15,5,9,7,11,12,12,11,3,8,3,17,22,17,12,11,19,21,4,14,19,3,14,3,17,6,13,15,31,17,17,15,11,32,15,9,15,7,2,8,19
3,6,7,15,4,9,8,5,13,5,11,7,15,7,8,20,12,11,6,16,8,4,22,4,23,2,15,9,11,10,18,17,11,9,13,7,17,3,9,17,1,10,17,5,10,23,10,5,19,15
8,4,3,3,8,7,7,8,5,1,3,7,1,7,5,13,23,15,19,17,22,15,13,9,7,25,15,17,8,11,20,17,21,11,9,14,16,17,17,21,34,12,14,13,15,1,17,27,8,15
5,1,1,1,7,11,13,16,3,18,12,19,23,7,11,24,9,5,8,6,27,9,17,11,9,9,7,8,1,17,17,3,14,5,8,3,21,15,13,9,7,9,9,15,11,11,11,21,16,18
3,7,9,13,7,11,5,13,11,8,9,9,13,10,7,3,9,11,25,7,11,20,21,21,16,21,20,14,9,10,25,6,3,6,11,22,9,9,13,9,13,12,6,17,7,8,13,12,15,9
9,7,8,6,8,3,9,17,16,9,5,13,10,17,3,14,9,4,16,5,5,3,9,13,5,9,13,14,7,21,15,7,11,17,17,4,7,8,5,11,10,21,9,21,17,13,11,17,4,17
4,9,6,7,6,7,9,7,5,13,11,15,3,12,15,15,9,16,7,15,5,18,3,17,17,2,9,7,11,6,18,19,17,23,15,19,15,13,5,17,7,20,28,17,17,13,18,8,21,4
5,9,3,3,9,5,9,9,10,8,6,8,7,7,17,7,9,21,15,3,10,13,8,10,17,17,36,20,13,5,24,13,9,13,3,11,11,9,1,12,12,5,13,16,8,13,19,5,28,13
7,7,6,15,2,11,9,5,8,13,9,20,19,2,19,13,7,7,9,26,11,7,11,5,5,7,15,20,17,21,17,15,5,7,7,15,13,20,24,3,15,13,20,5,15,7,8,19,3,7
9,3,3,7,3,3,8,9,11,20,7,3,3,11,25,27,7,9,18,7,5,11,13,9,13,19,14,17,6,20,19,14,11,13,5,3,9,11,9,8,15,15,9,15,4,13,17,3,7,12
5,3,7,9,9,3,3,8,22,7,7,2,11,25,5,4,7,3,5,7,7,19,13,20,9,13,7,19,3,6,19,15,26,17,15,13,17,9,15,15,11,13,6,17,6,9,11,9,21,19
3,10,12,3,3,7,24,7,21,5,9,3,13,5,21,17,7,3,12,8,7,5,28,20,17,5,27,13,30,21,18,15,10,13,17,20,9,21,3,18,3,23,14,15,22,14,5,18,15,16
3,3,9,6,5,11,3,7,3,11,7,7,11,14,5,11,19,15,13,12,37,15,13,16,19,13,17,17,30,15,13,23,15,15,9,5,5,10,12,12,7,8,3,15,11,15,24,16,11,19
7,3,8,9,11,3,5,10,5,19,18,15,8,14,1,7,26,17,18,20,13,3,13,11,8,8,11,3,15,22,21,18,3,13,3,5,15,3,6,13,17,10,17,15,6,7,14,3,19,14
8,5,5,7,5,6,5,3,9,8,1,7,13,5,27,27,11,15,13,11,9,11,13,13,26,20,13,13,5,13,5,22,19,9,25,15,11,24,3,11,6,18,17,11,15,11,7,14,23,13
8,3,11,11,17,14,3,7,12,3,6,3,20,3,2,14,17,12,11,17,11,8,23,11,22,14,25,12,19,3,23,9,21,35,25,4,12,7,12,13,13,11,1,8,9,11,13,29,17,16
6,14,3,5,8,6,13,9,5,11,11,18,6,31,3,4,16,6,9,13,11,3,7,16,5,19,3,9,7,21,21,15,17,13,11,9,12,17,17,17,11,9,19,9,9,17,9,13,14,19
3,6,3,9,4,9,7,5,8,24,9,7,21,21,9,8,7,5,5,19,9,14,18,11,17,18,9,19,15,9,10,16,5,14,5,19,5,5,17,3,11,5,17,17,16,19,15,12,1,15
9,10,7,5,6,3,5,4,15,8,25,3,5,11,17,9,19,16,26,3,15,11,11,12,6,5,16,18,21,9,17,11,15,16,19,5,15,7,15,22,11,12,3,29,8,19,17,29,10,22
9,5,4,9,10,12,9,14,7,3,14,21,14,9,5,7,3,9,13,11,5,9,7,13,5,7,24,11,15,11,13,17,5,30,13,17,12,9,3,13,21,15,11,13,19,12,15,24,13,11
5,1,6,13,12,6,5,11,5,5,13,3,11,3,11,3,15,17,31,20,17,15,15,8,9,24,15,7,7,11,7,8,19,11,2,14,9,21,9,7,1,8,8,17,20,15,18,9,13,23
7,5,12,5,4,3,5,11,8,5,11,14,19,6,3,3,9,17,5,3,7,9,13,18,2,18,11,24,3,5,13,21,6,21,9,9,9,3,15,7,8,3,13,18,5,15,9,21,9,8
7,3,14,5,9,12,10,7,3,10,7,9,3,9,7,17,19,11,3,18,28,4,6,15,9,17,26,26,19,35,11,11,3,9,18,7,4,16,21,12,28,21,19,5,15,3,9,1,19,9
3,5,4,12,11,8,6,7,4,6,9,14,6,10,9,12,13,5,15,11,18,4,13,9,12,11,9,3,17,13,11,7,21,3,13,2,16,5,13,25,21,3,19,21,16,5,7,15,17,13
